division,grupo,articulo,monto,porcentaje
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",ARROZ SIMPLE POR KG.,6457660041.46292,0.001398
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",ARROZ DOBLE POR KG.,7201315209.55732,0.001559
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",ARROZ OTRO TIPO POR KG.,507728963.68945,0.00011
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",AVENA COMUN POR KG.,141929574.59246,3.1e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",AVENA COCIMIENTO RAPIDO O INSTANTANEO POR KG.,112293720.30766,2.4e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CEREALES INFLADOS POR KG,198000832.03105,4.3e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CEREALES SIN COCCION POR KG,149411929.01179,3.2e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",MAIZ PELADO POR KILO,9355418.2638,2.0e-06
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CEREALES DE OTRO TIPO,473979734.52211,0.000103
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",FECULAD POR KG.,544877312.76704,0.000118
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINA DE MAIZ COMUN POR KG,1044836791.43001,0.000226
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINA DE MAIZ COCIMIENTO RAPIDO O INSTANTANEO POR,486775660.32933,0.000105
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINA DE TRIGO COMUN POR KG.,4676746156.91222,0.001012
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINA DE TRIGO LEUDANTE POR KG.,1708114433.6522,0.00037
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINA DE TRIGO OTRO TIPO POR KG.,68479874.86836,1.5e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",HARINAS VARIAS(INCLUYE POLVO DE HORNEAR) POR KG.,211779247.41659,4.6e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",SEMOLA Y SEMOLIN POR KG.,708455095.86253,0.000153
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CANELONES RELLENOS POR UNIDAD,950296781.17566,0.000206
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CANELONES OTROS SIN RELLENAR,219769459.13705,4.8e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",CAPELLETIS Y TORTELETIS POR KG.,1524958916.25104,0.00033
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",FIDEOS FRESCOS S/RELLENO POR KG.,4751519750.59931,0.001029
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",FIDEOS C/RELLENO POR KG.,607624580.83302,0.000132
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",FIDEOS SECOS POR KG.,16845416326.1892,0.003647
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",ÑOQUIS SUELTOS POR KG.,914243903.2245,0.000198
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",PANZALLOTIS Y AGNELOTIS POR UNIDAD,96372104.69315,2.1e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",PANZALLOTIS Y AGNELOTIS POR KG.,285539284.11282,6.2e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",RAVIOLES POR CAJA,11922034301.1362,0.002581
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",TAPAS PARA EMPANADAS-PASTELES- TARTAS (EMPANADAS P,4108437351.59466,0.000889
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",PASTELES POR UNIDAD,133593279.98468,2.9e-05
ALIMENTOS Y BEBIDAS,"Harinas, arroz, fideos y pastas",TARTAS POR UNIDAD,2231303765.81148,0.000483
ALIMENTOS Y BEBIDAS,Carnes frescas,CHINCHULIN,786208709.9238,0.00017
ALIMENTOS Y BEBIDAS,Carnes frescas,RIÑON DE VACA.,442595849.48831,9.6e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,PATITAS DE CERDO Y CORDERO,28268008.33252,6.0e-06
ALIMENTOS Y BEBIDAS,Carnes frescas,LENGUA DE VACA,841291706.02127,0.000182
ALIMENTOS Y BEBIDAS,Carnes frescas,HIGADO,2268140763.61022,0.000491
ALIMENTOS Y BEBIDAS,Carnes frescas,CORAZON,956389997.20844,0.000207
ALIMENTOS Y BEBIDAS,Carnes frescas,MOLLEJA,229899150.5089,5.0e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,MONDONGO,953407410.97476,0.000206
ALIMENTOS Y BEBIDAS,Carnes frescas,SESO,253670300.15401,5.5e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,MENUDOS DE AVE,111401965.8861,2.4e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,BOFE,13805470.45062,3.0e-06
ALIMENTOS Y BEBIDAS,Carnes frescas,OTRAS ACHURAS Y MENUDENCIAS,392976809.98042,8.5e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,AGUJA CON HUESO,1181717109.16782,0.000256
ALIMENTOS Y BEBIDAS,Carnes frescas,AGUJA SIN HUESO-ROAST BEEF,8929379847.60695,0.001933
ALIMENTOS Y BEBIDAS,Carnes frescas,ASADO.,31592227524.818,0.006839
ALIMENTOS Y BEBIDAS,Carnes frescas,AZOTILLO,316223873.81602,6.8e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,BIFE ANCHO,10803565249.6807,0.002339
ALIMENTOS Y BEBIDAS,Carnes frescas,BIFE ANGOSTO,14492053202.8474,0.003137
ALIMENTOS Y BEBIDAS,Carnes frescas,BIFE CON LOMO,5827527602.75553,0.001261
ALIMENTOS Y BEBIDAS,Carnes frescas,BOLA DE LOMO,10985992951.4597,0.002378
ALIMENTOS Y BEBIDAS,Carnes frescas,CARNAZA COMUN,14220259526.7965,0.003078
ALIMENTOS Y BEBIDAS,Carnes frescas,CARNE PICADA,20923320379.9841,0.004529
ALIMENTOS Y BEBIDAS,Carnes frescas,COLITA DE CUADRIL,6414979321.12076,0.001389
ALIMENTOS Y BEBIDAS,Carnes frescas,CUADRADA,8353251011.77512,0.001808
ALIMENTOS Y BEBIDAS,Carnes frescas,CUADRIL-RIÑONADA,21170975244.0709,0.004583
ALIMENTOS Y BEBIDAS,Carnes frescas,ENTRAÑA,1000169912.30685,0.000217
ALIMENTOS Y BEBIDAS,Carnes frescas,ESPINAZO,1370258893.23888,0.000297
ALIMENTOS Y BEBIDAS,Carnes frescas,FALDA CON HUESO,3781975093.45342,0.000819
ALIMENTOS Y BEBIDAS,Carnes frescas,FALDA SIN HUESO,2673934073.82756,0.000579
ALIMENTOS Y BEBIDAS,Carnes frescas,HUESO CON CARNE,1563681049.53525,0.000338
ALIMENTOS Y BEBIDAS,Carnes frescas,HUESO SIN CARNE,343529964.13792,7.4e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,LOMO,3401211459.38261,0.000736
ALIMENTOS Y BEBIDAS,Carnes frescas,MATAMBRE,3142799280.8036,0.00068
ALIMENTOS Y BEBIDAS,Carnes frescas,NALGA,33652890195.5036,0.007285
ALIMENTOS Y BEBIDAS,Carnes frescas,OSOBUCO,2794471830.48916,0.000605
ALIMENTOS Y BEBIDAS,Carnes frescas,PALETA.,24162536616.5917,0.00523
ALIMENTOS Y BEBIDAS,Carnes frescas,PALOMITA,1664762859.44685,0.00036
ALIMENTOS Y BEBIDAS,Carnes frescas,PECETO.,9044342070.71599,0.001958
ALIMENTOS Y BEBIDAS,Carnes frescas,TAPA DE ASADO,4340552435.00281,0.00094
ALIMENTOS Y BEBIDAS,Carnes frescas,TAPA DE NALGA,1807034456.2643,0.000391
ALIMENTOS Y BEBIDAS,Carnes frescas,TORTUGUITA,1223768428.11391,0.000265
ALIMENTOS Y BEBIDAS,Carnes frescas,VACIO - CIMA,8659265953.74876,0.001874
ALIMENTOS Y BEBIDAS,Carnes frescas,OTROS CORTES VACUNOS,1994894768.26723,0.000432
ALIMENTOS Y BEBIDAS,Carnes frescas,COSTILLITA DE OVINA POR KG.,444321493.355,9.6e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,PALETA DE OVINA POR KG.,421491984.5465,9.1e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,PIERNA DE OVINA POR KG.,365870533.30007,7.9e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,OTROS CORTE DE CARNE OVINA POR KG.,776314274.75717,0.000168
ALIMENTOS Y BEBIDAS,Carnes frescas,COSTELETA DE PORCINA POR KG.,2717364301.8984,0.000588
ALIMENTOS Y BEBIDAS,Carnes frescas,COSTILLAR DE PORCINA POR KG.,644946948.81536,0.00014
ALIMENTOS Y BEBIDAS,Carnes frescas,LOMO PORCINO POR KG.,133573872.5126,2.9e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,PECHITO PORCINO POR KG.,589112235.40146,0.000128
ALIMENTOS Y BEBIDAS,Carnes frescas,OTROS CORTE PORCINO POR KG,317756487.26824,6.9e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,POLLO ENTERO POR KG.,60087284845.7362,0.013007
ALIMENTOS Y BEBIDAS,Carnes frescas,POLLO TROZADO ENVASADO POR KG,1786818622.97205,0.000387
ALIMENTOS Y BEBIDAS,Carnes frescas,GALLINA POR KG,441501194.63395,9.6e-05
ALIMENTOS Y BEBIDAS,Carnes frescas,OTRAS AVES POR KG,632505633.5512,0.000137
ALIMENTOS Y BEBIDAS,Carnes frescas,OTRAS CARNES POR KG.,793927272.9489,0.000172
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,CORNED BEEF LATA,83828211.02925,1.8e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,EXTRACTO DE CARNE LATA,26723250.3598,6.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON DEL DIABLO LATA,65530379.55532,1.4e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PATE DE FOIE DE AVE LATA,854904606.44197,0.000185
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PICADILLO DE CARNE LATA,487725932.58891,0.000106
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,VIANDADA LATA,13539565.9008,3.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTRAS PASTAS DE CARNE EN LATA,7786089.0168,2.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTRAS CARNES EN CONSERVA ENVASADAS POR KG.,5449710.25368,1.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTRAS CARNES EN CONSERVA,136660804.78182,3.0e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,CHORIZO FRESCO POR KG.,7827778552.33959,0.001694
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,MORCILLA COMUN POR KG.,1701646058.5423,0.000368
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALCHICHA CRIOLLA POR KG.,1241249380.86547,0.000269
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALCHICHA TIPO VIENA ENVASADA,6534683776.49968,0.001415
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALCHICHA TIPO VIENA SUELTA POR KG.,1599351516.64283,0.000346
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTROS EMBUTIDOS,501560476.95159,0.000109
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,BONDIOLA SUELTA POR KG,1138768364.66074,0.000247
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON CRUDO SUELTO POR KG.,4298364332.21404,0.00093
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON CRUDO POR PIEZA,97364288.27512,2.1e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON COCIDO SUELTO POR KG.,12172124032.5084,0.002635
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON COCIDO POR PIEZA,79537155.41577,1.7e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,JAMON SERRANO SUELTO POR KG,96553772.57665,2.1e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,LOMITO POR KG,449083685.57535,9.7e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,MATAMBRE SUELTO POR KG,1462175071.93111,0.000317
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,MATAMBRE POR PIEZA KG.,49634923.27547,1.1e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,MORTADELA SUELTO KG.,1092265788.91853,0.000236
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALAME POR KG. (CRIOLLO- MILAN),2834557752.14852,0.000614
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALAME POR PIEZA,199080831.80648,4.3e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALAMIN POR KG.,1640076284.98095,0.000355
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALAMIN POR PIEZA,921178727.6628,0.000199
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALCHICHON POR KG.,2386710566.14782,0.000517
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,SALCHICHON POR PIEZA,46913274.26432,1.0e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PALETA POR KG.,3885435226.21543,0.000841
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PALETA POR PIEZA,21025617.9026,5.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PANCETA AHUMADA O DE OTRO TIPO POR KG.,889068376.47871,0.000192
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,PANCETA AHUMADA O DE OTRO TIPO POR PIEZA,5532522.4676,1.0e-06
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,LEWERBURST POR KG,183265417.3774,4.0e-05
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTROS FIAMBRES POR KG,1477353423.54878,0.00032
ALIMENTOS Y BEBIDAS,Fiambres y embutidos,OTROS FIAMBRES POR PIEZA,108421556.61345,2.3e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,ATUN-LOMO DE ATUN Y SALMON POR KG.,1320826229.35006,0.000286
ALIMENTOS Y BEBIDAS,Pescados y mariscos,BESUGO,279846271.6384,6.1e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,BROTOLA,839628299.3949,0.000182
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CONGRIO-BACALAO FRESCO,550821917.2599,0.000119
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CORNALITOS,120414430.57425,2.6e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,DORADO,14864731.10028,3.0e-06
ALIMENTOS Y BEBIDAS,Pescados y mariscos,FILET DE MERLUZA,7718655635.00474,0.001671
ALIMENTOS Y BEBIDAS,Pescados y mariscos,MERLUZA,1848174202.18445,0.0004
ALIMENTOS Y BEBIDAS,Pescados y mariscos,FILET DE PEJERREY,403219443.08021,8.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,PEJERREY,248455410.4688,5.4e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,SARDINAS,218531284.31895,4.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,SABALO,27248551.2684,6.0e-06
ALIMENTOS Y BEBIDAS,Pescados y mariscos,SURUBI,29679491.046,6.0e-06
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CORBINA,234394202.68678,5.1e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,LENGUADO,591716802.15458,0.000128
ALIMENTOS Y BEBIDAS,Pescados y mariscos,OTROS PESCADOS FRESCOS,1287771844.31718,0.000279
ALIMENTOS Y BEBIDAS,Pescados y mariscos,FILET DE ANCHOA EN ACEITE O SALMUERAA,155264892.21001,3.4e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,ARENQUE EN LATA,54024266.298,1.2e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,ATUN EN LATA,1703695872.91508,0.000369
ALIMENTOS Y BEBIDAS,Pescados y mariscos,BACALAO SECO,357451961.4805,7.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CABALLA EN LATA,1276429819.40816,0.000276
ALIMENTOS Y BEBIDAS,Pescados y mariscos,MERLUZA EN LATA,68251506.22827,1.5e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,PASTAS DE PESCADO VARIAS,6445458.66723,1.0e-06
ALIMENTOS Y BEBIDAS,Pescados y mariscos,SALMON EN LATA,77455314.5464,1.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,SARDINAS,1157383788.9822,0.000251
ALIMENTOS Y BEBIDAS,Pescados y mariscos,OTROS PESCADOS EN CONSERVA,80063498.11982,1.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,ALMEJAS-BERBERECHOS-MEJILLONES.,80837285.8486,1.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CALAMARES,802919302.62579,0.000174
ALIMENTOS Y BEBIDAS,Pescados y mariscos,CAMARONES,108500651.97918,2.3e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,LANGOSTINOS,420501385.8753,9.1e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,PULPO,675027166.92164,0.000146
ALIMENTOS Y BEBIDAS,Pescados y mariscos,FILET DE MERLUZA CONGELADO,168618499.5908,3.7e-05
ALIMENTOS Y BEBIDAS,Pescados y mariscos,OTROS PESCADOS CONGELADOS,41984891.4277,9.0e-06
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE GIRASOL SUELTO,133654761.87488,2.9e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE GIRASOL EN BOTELLA,323397745.76099,7.0e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE GIRASOL EN LATA,186252714.7475,4.0e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE MAIZ SUELTO,173629609.21543,3.8e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE MAIZ BOTELLA,2338580857.71245,0.000506
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE MAIZ EN LATA,1682654509.19316,0.000364
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE MEZCLA SUELTA,1093713691.76049,0.000237
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE MEZCLA BOTELLA,25049755066.3914,0.005422
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE MEZCLA LATA,1617263211.74034,0.00035
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE OLIVA SUELTO,18148287.18978,4.0e-06
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE OLIVA EN BOTELLA,239979027.21538,5.2e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACITE DE OLIVA,196302644.93431,4.2e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE UVA SUELTA,171866217.88357,3.7e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE UVA BOTELLA,1430025095.48119,0.00031
ALIMENTOS Y BEBIDAS,Aceites y grasas,ACEITE DE UVA EN LATA,336410965.37223,7.3e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,OTROS ACEITES SUELTOS,25696268.6318,6.0e-06
ALIMENTOS Y BEBIDAS,Aceites y grasas,OTROS ACEITES EN BOTELLA,53919601.05795,1.2e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,OTROS ACEITES DE LITRO,11963638.69596,3.0e-06
ALIMENTOS Y BEBIDAS,Aceites y grasas,MARGARINA UNTABLE,2724260642.14505,0.00059
ALIMENTOS Y BEBIDAS,Aceites y grasas,MARGARINA PARA COCINAR,939144186.21976,0.000203
ALIMENTOS Y BEBIDAS,Aceites y grasas,OTRAS GRASAS VEGETALES,38121221.43448,8.0e-06
ALIMENTOS Y BEBIDAS,Aceites y grasas,GRASA PORCINA POR KILO,252711858.86437,5.5e-05
ALIMENTOS Y BEBIDAS,Aceites y grasas,GRASA VACUNA POR KG.,495763341.13262,0.000107
ALIMENTOS Y BEBIDAS,Aceites y grasas,OTRAS GRASAS ANIMALES POR KG,22142126.46394,5.0e-06
ALIMENTOS Y BEBIDAS,Leche,LECHE FRESCA ENTERA SACHET,47361636899.751,0.010252
ALIMENTOS Y BEBIDAS,Leche,LECHE FRESCA DESGRASADA EN SACHET,1856446110.26598,0.000402
ALIMENTOS Y BEBIDAS,Leche,LECHE FRESCA ENTERA EN CARTON,2427571724.09752,0.000525
ALIMENTOS Y BEBIDAS,Leche,LECHE FRESCA DESCREMADA EN CARTON O PLASTICO,593366101.55071,0.000128
ALIMENTOS Y BEBIDAS,Leche,LECHE LARGA DURACION,1370469250.80532,0.000297
ALIMENTOS Y BEBIDAS,Leche,OTRAS LECHE FRESCA EN SACHET,616764210.04171,0.000134
ALIMENTOS Y BEBIDAS,Leche,OTRAS LECHE FRESCA EN CARTON O PLASTICO,511217373.61258,0.000111
ALIMENTOS Y BEBIDAS,Leche,LECHE EN POLVO ENTERA.,3504633398.71635,0.000759
ALIMENTOS Y BEBIDAS,Leche,LECHE EN POLVO DESCREMADA ENVASADA,701828040.04484,0.000152
ALIMENTOS Y BEBIDAS,Leche,OTRA LECHE EN POLVO ENVASADA,166589389.464,3.6e-05
ALIMENTOS Y BEBIDAS,Leche,LECHE CONDENSADA EN LATA,129104708.10245,2.8e-05
ALIMENTOS Y BEBIDAS,Leche,LECHE CHOCOLATADA ENVASADA,542205484.79926,0.000117
ALIMENTOS Y BEBIDAS,Productos lacteos,CREMA DE LECHE ENVASE CARTON,438660159.26739,9.5e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,CREMA DE LECHE ENVASE PLASTICO,1757243672.9346,0.00038
ALIMENTOS Y BEBIDAS,Productos lacteos,DULCE DE LECHE ENVASADO,7662283524.54862,0.001659
ALIMENTOS Y BEBIDAS,Productos lacteos,DULCE DE LECHE SUELTO POR KG,298137550.18065,6.5e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,MANTECA ENVASADA POR KILOGRAMO,13195792989.4931,0.002856
ALIMENTOS Y BEBIDAS,Productos lacteos,OTRAS MANTECA POR KG,304968505.51344,6.6e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO FRESCO DOBLE CREMA,23934692279.9668,0.005181
ALIMENTOS Y BEBIDAS,Productos lacteos,MUZZARELLA,1914634519.84822,0.000414
ALIMENTOS Y BEBIDAS,Productos lacteos,QUARTIROLO,4336987173.882,0.000939
ALIMENTOS Y BEBIDAS,Productos lacteos,OTROS QUESOS FRESCOS,2156591655.66592,0.000467
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO DE MAQUINA,4260577403.8003,0.000922
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO FONTINA,2169605119.50438,0.00047
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO FUNDIDO,265815692.18276,5.8e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO GOUDA,89378892.51097,1.9e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO GRUYERE,741895628.73763,0.000161
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO PATE GRAS.- MAR DEL PLATA,6484144959.74228,0.001404
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO ROQUEFORT,426666562.03878,9.2e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO TALUHET,112616699.516,2.4e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO TIPO CHUBUT,418289875.2568,9.1e-05
ALIMENTOS Y BEBIDAS,Productos lacteos,OTROS QUESO DE POSTRE,1179310970.19647,0.000255
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO PARMESANO,5226279176.32368,0.001131
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO PROVOLONE--PROVOLETA,1432654648.92421,0.00031
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO RALLADO ENVASADO,2516447719.25619,0.000545
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO REGGIANITO,2157958512.49221,0.000467
ALIMENTOS Y BEBIDAS,Productos lacteos,QUESO SARDO,2288869010.49645,0.000495
